subject,custom_identifier,label,format,date_text,year_published_from,year_published_to,place,book_type,coordinates,languages,authors,publishers
http://sphaera.mpiwg-berlin.mpg.de/id/item/910f2ca0-5cad-4cd5-aae6-f15a45d7108c,1729,Sphaera Ioannis de Sacrobusto,Octavo,,1572,1572,Venice,Compilation of texts,"45.43713, 12.33265",Latin,"Sacrobosco, Johannes de",Heirs of Melchiorre Sessa I.
http://sphaera.mpiwg-berlin.mpg.de/id/item/baee638b-3a9b-49b1-987d-ae2cb8141c8d,1911,"Sphaera Ioannis de Sacro Bosco, emendata",Octavo,,1572,1572,Paris,Annotated original text and compilation of texts,"48.856577777, 2.351827777",Latin,"Sacrobosco, Johannes de;Vinet, Élie;Nunes, Pedro;Valeriano, Pierio","Cavellat, Guillaume;Marnef, Jérôme de"
http://sphaera.mpiwg-berlin.mpg.de/id/item/239b1116-2204-47f9-9c31-c22af918e5d1,2227,The arte of Navigation,Quarto,,1572,1572,London,Adaption (treatise strongly influenced by original tract),"51.507222222, -0.1275",English,"Cortès, Martin;Eden, Richard","Jugge, Richard"
http://sphaera.mpiwg-berlin.mpg.de/id/item/464a1d5d-e05a-480f-990d-7c4b16f8857b,1931,Quaestiones in libellum de sphaera Ioannis de Sacro Busto,Octavo,,1573,1573,Wittenberg,Adaption (treatise strongly influenced by original tract),"51.8671, 12.6484",Latin,"Sacrobosco, Johannes de;Beyer, Hartmann","Seitz, Peter I."
http://sphaera.mpiwg-berlin.mpg.de/id/item/0fd18ec6-f67b-4f77-9366-f616808d5945,1730,"Sphaera Ioannis de Sacro Bosco, emendata",Octavo,,1573,1573,Antwerp,Annotated original text and compilation of texts,"51.217777777, 4.400277777",Latin,"Sacrobosco, Johannes de;Vinet, Élie;Giuntini, Francesco","Bellère, Jean"
http://sphaera.mpiwg-berlin.mpg.de/id/item/86cce62b-9a69-42aa-87e8-a78fc1bfb923,2073,La sfera del mondo di M. Alessandro Piccolomini,Quarto,,1573,1573,Venice,Adaption (treatise strongly influenced by original tract),"45.43713, 12.33265",Italian,"Piccolòmini, Alessandro",Giovanni Varisco & company
http://sphaera.mpiwg-berlin.mpg.de/id/item/2b76c13e-500d-4a32-b38c-ecea8c780b90,2161,Novae quaestiones sphaerae,Octavo,,1573,1573,Wittenberg,Adaption (treatise strongly influenced by original tract),"51.8671, 12.6484",Latin,"Dietrich, Sebastian","Schleich, Clemens;Schöne, Anton"
http://sphaera.mpiwg-berlin.mpg.de/id/item/363e36c5-3828-463a-bd9c-02bc26e3e34d,2215,La sfera di M. Giovanni di Sacrobosco,Quarto,,1574,1575,Perugia,Annotated original text,"43.1122, 12.38878",Italian,"Sacrobosco, Johannes de;Danti, Piervincenzo","Salviani, Baldo"
http://sphaera.mpiwg-berlin.mpg.de/id/item/a1254758-675b-44ea-b676-29301d23b463,1836,La sfera di M. Giovanni di Sacrobosco,Quarto,,1574,1574,Perugia,Annotated original text,"43.1122, 12.38878",Italian,"Sacrobosco, Johannes de;Danti, Piervincenzo","Rastelli, Giovanni Bernardino"
http://sphaera.mpiwg-berlin.mpg.de/id/item/3e02c3b8-e0e6-43a3-a4b3-5d62e312ab86,2233,De sphaera mundi,Octavo,,1574,1574,Heidelberg,Adaption (treatise strongly influenced by original tract),"49.412222222, 8.71",Latin,"Witekind, Hermann","Harnisch, Matthäus"
http://sphaera.mpiwg-berlin.mpg.de/id/item/08edefcd-8873-4d42-9041-bb2d0a99d299,1965,"Sphaera Ioannis de Sacro Bosco, emendata",Octavo,,1574,1574,Venice,Annotated original text and compilation of texts,"45.43713, 12.33265",Latin,"Sacrobosco, Johannes de;Vinet, Élie;Nunes, Pedro;Valeriano, Pierio",Heirs of Girolamo Scotto
http://sphaera.mpiwg-berlin.mpg.de/id/item/2253e3b7-423b-45d2-916a-e2fdd674ff31,1897,Ioannis de Sacro Bvsto Libellvs de sphæra,Octavo,,1574,1574,Wittenberg,Annotated original text and compilation of texts,"51.8671, 12.6484",Latin,"Sacrobosco, Johannes de;Melanchthon, Philipp","Seitz, Peter I."
http://sphaera.mpiwg-berlin.mpg.de/id/item/81be1fcd-f929-4b5f-ab19-9fa75ef00aef,1733,La sphere de Iean de Sacrobosco,Octavo,,1576,1576,Paris,Annotated original text,"48.856577777, 2.351827777",French,"Sacrobosco, Johannes de;Des Bordes, Guillaume","Cavellat, Guillaume;Marnef, Jérôme de"
